item_id,construction,stem,condition,difficulty,sentence,nli_hypothesis,nli_gold,fc_gold,affirm_correct
res-hammer-construction,resultative,hammer,construction,1,Maria hammered the metal flat.,The metal became flat.,0,YES,1
res-hammer-control,resultative,hammer,control,2,Maria hammered the metal.,The metal became flat.,NA,NA,NA
res-paint-construction,resultative,paint,construction,1,Jordan painted the fence white.,The fence became white.,0,YES,1
res-paint-control,resultative,paint,control,2,Jordan painted the fence.,The fence became white.,NA,NA,NA
res-kick-construction,resultative,kick,construction,1,Priya kicked the door open.,The door became open.,0,YES,1
res-kick-control,resultative,kick,control,2,Priya kicked the door.,The door became open.,NA,NA,NA
res-push-construction,resultative,push,construction,1,Tomas pushed the gate open.,The gate became open.,0,YES,1
res-push-control,resultative,push,control,2,Tomas pushed the gate.,The gate became open.,NA,NA,NA
res-cut-construction,resultative,cut,construction,1,Lena cut the rope short.,The rope became short.,0,YES,1
res-cut-control,resultative,cut,control,2,Lena cut the rope.,The rope became short.,NA,NA,NA
res-beat-construction,resultative,beat,construction,1,Omar beat the cream stiff.,The cream became stiff.,0,YES,1
res-beat-control,resultative,beat,control,2,Omar beat the cream.,The cream became stiff.,NA,NA,NA
res-boil-construction,resultative,boil,construction,1,Nina boiled the sauce thick.,The sauce became thick.,0,YES,1
res-boil-control,resultative,boil,control,2,Nina boiled the sauce.,The sauce became thick.,NA,NA,NA
res-squeeze-construction,resultative,squeeze,construction,1,Carlos squeezed the sponge dry.,The sponge became dry.,0,YES,1
res-squeeze-control,resultative,squeeze,control,2,Carlos squeezed the sponge.,The sponge became dry.,NA,NA,NA
res-wipe-construction,resultative,wipe,construction,1,Aisha wiped the counter clean.,The counter became clean.,0,YES,1
res-wipe-control,resultative,wipe,control,2,Aisha wiped the counter.,The counter became clean.,NA,NA,NA
res-scrub-construction,resultative,scrub,construction,1,Sam scrubbed the pot clean.,The pot became clean.,0,YES,1
res-scrub-control,resultative,scrub,control,2,Sam scrubbed the pot.,The pot became clean.,NA,NA,NA
res-freeze-construction,resultative,freeze,construction,1,Wei froze the pond solid.,The pond became solid.,0,YES,1
res-freeze-control,resultative,freeze,control,2,Wei froze the pond.,The pond became solid.,NA,NA,NA
res-sharpen-construction,resultative,sharpen,construction,1,Dana sharpened the knife sharp.,The knife became sharp.,0,YES,1
res-sharpen-control,resultative,sharpen,control,2,Dana sharpened the knife.,The knife became sharp.,NA,NA,NA
im-spin-construction,intrans-motion,spin,construction,1,The coin spun across the table.,The coin moved to a different place.,0,YES,1
im-spin-control,intrans-motion,spin,control,2,The coin spun.,The coin moved to a different place.,NA,NA,NA
im-float-construction,intrans-motion,float,construction,1,The bottle floated into the cave.,The bottle moved to a different place.,0,YES,1
im-float-control,intrans-motion,float,control,2,The bottle floated.,The bottle moved to a different place.,NA,NA,NA
im-sway-construction,intrans-motion,sway,construction,1,The lantern swayed toward the door.,The lantern moved to a different place.,0,YES,1
im-sway-control,intrans-motion,sway,control,2,The lantern swayed.,The lantern moved to a different place.,NA,NA,NA
im-bob-construction,intrans-motion,bob,construction,1,The buoy bobbed out past the pier.,The buoy moved to a different place.,0,YES,1
im-bob-control,intrans-motion,bob,control,2,The buoy bobbed.,The buoy moved to a different place.,NA,NA,NA
im-wobble-construction,intrans-motion,wobble,construction,1,The top wobbled off the shelf.,The top moved to a different place.,0,YES,1
im-wobble-control,intrans-motion,wobble,control,2,The top wobbled.,The top moved to a different place.,NA,NA,NA
im-swing-construction,intrans-motion,swing,construction,1,The rope swung over the fence.,The rope moved to a different place.,0,YES,1
im-swing-control,intrans-motion,swing,control,2,The rope swung.,The rope moved to a different place.,NA,NA,NA
im-twirl-construction,intrans-motion,twirl,construction,1,The dancer twirled across the stage.,The dancer moved to a different place.,0,YES,1
im-twirl-control,intrans-motion,twirl,control,2,The dancer twirled.,The dancer moved to a different place.,NA,NA,NA
im-rock-construction,intrans-motion,rock,construction,1,The cradle rocked across the floor.,The cradle moved to a different place.,0,YES,1
im-rock-control,intrans-motion,rock,control,2,The cradle rocked.,The cradle moved to a different place.,NA,NA,NA
im-bounce-construction,intrans-motion,bounce,construction,1,The ball bounced over the wall.,The ball moved to a different place.,0,YES,1
im-bounce-control,intrans-motion,bounce,control,2,The ball bounced.,The ball moved to a different place.,NA,NA,NA
im-roll-construction,intrans-motion,roll,construction,1,The barrel rolled down the hill.,The barrel moved to a different place.,0,YES,1
im-roll-control,intrans-motion,roll,control,2,The barrel rolled.,The barrel moved to a different place.,NA,NA,NA
im-slide-construction,intrans-motion,slide,construction,1,The puck slid into the net.,The puck moved to a different place.,0,YES,1
im-slide-control,intrans-motion,slide,control,2,The puck slid.,The puck moved to a different place.,NA,NA,NA
im-drift-construction,intrans-motion,drift,construction,1,The boat drifted toward the rocks.,The boat moved to a different place.,0,YES,1
im-drift-control,intrans-motion,drift,control,2,The boat drifted.,The boat moved to a different place.,NA,NA,NA
