item_id,verb,typicality,animacy,form,subject,obj_np,sentence,nli_hypothesis,nli_gold,fc_gold,affirm_correct
sneeze-cm,sneeze,typical,inanimate,cm,Maria,the napkin,Maria sneezed the napkin off the table.,Maria's sneezing caused the napkin to move.,0,YES,1
sneeze-ctrl-loc,sneeze,typical,inanimate,ctrl-loc,Maria,the napkin,Maria sneezed. The napkin stayed on the table.,Maria's sneezing caused the napkin to move.,2,NO,0
sneeze-ctrl-sep,sneeze,typical,inanimate,ctrl-sep,Maria,the napkin,The napkin blew off the table in a draft while Maria sneezed.,Maria's sneezing caused the napkin to move.,1,CANT_TELL,0
cough-cm,cough,typical,inanimate,cm,Jordan,the crumbs,Jordan coughed the crumbs across the counter.,Jordan's coughing caused the crumbs to move.,0,YES,1
cough-ctrl-loc,cough,typical,inanimate,ctrl-loc,Jordan,the crumbs,Jordan coughed. The crumbs stayed on the counter.,Jordan's coughing caused the crumbs to move.,2,NO,0
cough-ctrl-sep,cough,typical,inanimate,ctrl-sep,Jordan,the crumbs,The crumbs scattered across the counter when a fan switched on as Jordan coughed.,Jordan's coughing caused the crumbs to move.,1,CANT_TELL,0
huff-cm,huff,typical,inanimate,cm,Lena,the papers,Lena huffed the papers off the desk.,Lena's huffing caused the papers to move.,0,YES,1
huff-ctrl-loc,huff,typical,inanimate,ctrl-loc,Lena,the papers,Lena huffed. The papers stayed on the desk.,Lena's huffing caused the papers to move.,2,NO,0
huff-ctrl-sep,huff,typical,inanimate,ctrl-sep,Lena,the papers,The papers slid off the desk when the window blew open while Lena huffed.,Lena's huffing caused the papers to move.,1,CANT_TELL,0
laugh-cm,laugh,typical,animate,cm,Priya,the actor,Priya laughed the actor off the stage.,Priya's laughing caused the actor to move.,0,YES,1
laugh-ctrl-loc,laugh,typical,animate,ctrl-loc,Priya,the actor,Priya laughed. The actor stayed on the stage.,Priya's laughing caused the actor to move.,2,NO,0
laugh-ctrl-sep,laugh,typical,animate,ctrl-sep,Priya,the actor,The actor strode off the stage on cue while Priya laughed.,Priya's laughing caused the actor to move.,1,CANT_TELL,0
whistle-cm,whistle,typical,animate,cm,Tomas,the dog,Tomas whistled the dog out of the room.,Tomas's whistling caused the dog to move.,0,YES,1
whistle-ctrl-loc,whistle,typical,animate,ctrl-loc,Tomas,the dog,Tomas whistled. The dog stayed in the room.,Tomas's whistling caused the dog to move.,2,NO,0
whistle-ctrl-sep,whistle,typical,animate,ctrl-sep,Tomas,the dog,The dog wandered out of the room after a scent while Tomas whistled.,Tomas's whistling caused the dog to move.,1,CANT_TELL,0
hiccup-cm,hiccup,atypical,inanimate,cm,Carlos,the coins,Carlos hiccuped the coins off the counter.,Carlos's hiccuping caused the coins to move.,0,YES,1
hiccup-ctrl-loc,hiccup,atypical,inanimate,ctrl-loc,Carlos,the coins,Carlos hiccuped. The coins stayed on the counter.,Carlos's hiccuping caused the coins to move.,2,NO,0
hiccup-ctrl-sep,hiccup,atypical,inanimate,ctrl-sep,Carlos,the coins,The coins slid off the counter when the table tilted as Carlos hiccuped.,Carlos's hiccuping caused the coins to move.,1,CANT_TELL,0
shiver-cm,shiver,atypical,inanimate,cm,Sam,the snow,Sam shivered the snow off his coat.,Sam's shivering caused the snow to move.,0,YES,1
shiver-ctrl-loc,shiver,atypical,inanimate,ctrl-loc,Sam,the snow,Sam shivered. The snow stayed on his coat.,Sam's shivering caused the snow to move.,2,NO,0
shiver-ctrl-sep,shiver,atypical,inanimate,ctrl-sep,Sam,the snow,The snow slid off his coat in the wind while Sam shivered.,Sam's shivering caused the snow to move.,1,CANT_TELL,0
yawn-cm,yawn,atypical,animate,cm,Omar,the cat,Omar yawned the cat off his lap.,Omar's yawning caused the cat to move.,0,YES,1
yawn-ctrl-loc,yawn,atypical,animate,ctrl-loc,Omar,the cat,Omar yawned. The cat stayed on his lap.,Omar's yawning caused the cat to move.,2,NO,0
yawn-ctrl-sep,yawn,atypical,animate,ctrl-sep,Omar,the cat,The cat sprang off his lap to chase a moth while Omar yawned.,Omar's yawning caused the cat to move.,1,CANT_TELL,0
snore-cm,snore,atypical,animate,cm,Nina,the kitten,Nina snored the kitten off the bed.,Nina's snoring caused the kitten to move.,0,YES,1
snore-ctrl-loc,snore,atypical,animate,ctrl-loc,Nina,the kitten,Nina snored. The kitten stayed on the bed.,Nina's snoring caused the kitten to move.,2,NO,0
snore-ctrl-sep,snore,atypical,animate,ctrl-sep,Nina,the kitten,The kitten leapt off the bed at a sudden noise while Nina snored.,Nina's snoring caused the kitten to move.,1,CANT_TELL,0
shudder-cm,shudder,atypical,animate,cm,Aisha,the spider,Aisha shuddered the spider off her sleeve.,Aisha's shuddering caused the spider to move.,0,YES,1
shudder-ctrl-loc,shudder,atypical,animate,ctrl-loc,Aisha,the spider,Aisha shuddered. The spider stayed on her sleeve.,Aisha's shuddering caused the spider to move.,2,NO,0
shudder-ctrl-sep,shudder,atypical,animate,ctrl-sep,Aisha,the spider,The spider dropped off her sleeve on its own while Aisha shuddered.,Aisha's shuddering caused the spider to move.,1,CANT_TELL,0
