item_id,arm,difficulty,sentence,dim1,dim2,nli_hypothesis,nli_gold,fc_gold
bpos-meeting,baseline-pos,1,"The longer the meeting dragged on, the more restless the staff became.",the meeting's length,the staff's restlessness,"As the meeting's length increases, the staff's restlessness increases.",0,INCREASE
bpos-tower,baseline-pos,1,"The taller the tower grew, the more tourists it attracted.",the tower's height,the number of tourists,"As the tower's height increases, the number of tourists increases.",0,INCREASE
bpos-room,baseline-pos,1,"The darker the room got, the harder it became to read.",the room's darkness,the difficulty of reading,"As the room's darkness increases, the difficulty of reading increases.",0,INCREASE
binv-shelf,baseline-inv,1,"The higher the shelf, the fewer people could reach it.",the shelf's height,the number of people who could reach it,"As the shelf's height increases, the number of people who could reach it increases.",2,DECREASE
binv-water,baseline-inv,1,"The colder the water became, the less the children wanted to swim.",the water's coldness,the children's desire to swim,"As the water's coldness increases, the children's desire to swim increases.",2,DECREASE
binv-fog,baseline-inv,1,"The thicker the fog grew, the slower the traffic moved.",the fog's thickness,the traffic's speed,"As the fog's thickness increases, the traffic's speed increases.",2,DECREASE
neg-team,negation,2,"It is not true that the more the team trained, the better they performed.",the amount the team trained,the team's performance,"As the amount the team trained increases, the team's performance increases.",2,UNDETERMINED
neg-book,negation,2,"It is not the case that the longer the book, the more readers enjoyed it.",the book's length,readers' enjoyment,"As the book's length increases, readers' enjoyment increases.",2,UNDETERMINED
neg-ads,negation,2,"It is simply false that the more the product was advertised, the more it sold.",the amount of advertising,the product's sales,"As the amount of advertising increases, the product's sales increases.",2,UNDETERMINED
neg-push,negation,2,"Contrary to the coach's claim, it was not true that the harder the players pushed, the more games they won.",how hard the players pushed,the number of games they won,"As how hard the players pushed increases, the number of games they won increases.",2,UNDETERMINED
mod-exercise,modal-epistemic,2,"It remains unproven whether the more people exercise, the longer they live.",the amount people exercise,their lifespan,"As the amount people exercise increases, their lifespan increases.",1,UNDETERMINED
mod-reading,modal-epistemic,2,"Researchers still debate whether the more a child reads, the larger their vocabulary grows.",the amount a child reads,the child's vocabulary size,"As the amount a child reads increases, the child's vocabulary size increases.",1,UNDETERMINED
mod-dose,modal-epistemic,2,"No one has confirmed whether the higher the dose, the faster the recovery.",the dose,the recovery speed,"As the dose increases, the recovery speed increases.",1,UNDETERMINED
negi-practice,negation-inv,3,"It is not the case that the more she practiced, the worse she played.",the amount she practiced,how well she played,"As the amount she practiced increases, how well she played increases.",1,UNDETERMINED
negi-spend,negation-inv,3,"It isn't true that the more the company spent, the less it earned.",the company's spending,the company's earnings,"As the company's spending increases, the company's earnings increases.",1,UNDETERMINED
negi-alarm,negation-inv,3,"It was never the case that the louder the alarm, the fewer people ignored it.",the alarm's loudness,the number of people who ignored it,"As the alarm's loudness increases, the number of people who ignored it increases.",1,UNDETERMINED
