item_id,arm,construction,stem,condition,sentence,nli_hypothesis,nli_gold,fc_gold,affirm_correct,calib,privative_modifier
add-beat-control,add,resultative,beat,control,Maria beat the cream.,The cream became stiff.,NA,NA,NA,0,
add-beat-construction,add,resultative,beat,construction,Maria beat the cream stiff.,The cream became stiff.,0,YES,1,0,
add-beat-cue,add,resultative,beat,cue,"Maria beat the cream stiff, but the cream did not become stiff.",The cream became stiff.,2,NO,0,0,
add-boil-control,add,resultative,boil,control,Jordan boiled the sauce.,The sauce became thick.,NA,NA,NA,0,
add-boil-construction,add,resultative,boil,construction,Jordan boiled the sauce thick.,The sauce became thick.,0,YES,1,0,
add-boil-cue,add,resultative,boil,cue,"Jordan boiled the sauce thick, but the sauce did not become thick.",The sauce became thick.,2,NO,0,0,
add-cut-control,add,resultative,cut,control,Priya cut the rope.,The rope became short.,NA,NA,NA,1,
add-cut-construction,add,resultative,cut,construction,Priya cut the rope short.,The rope became short.,0,YES,1,1,
add-cut-cue,add,resultative,cut,cue,"Priya cut the rope short, but the rope did not become short.",The rope became short.,2,NO,0,0,
add-hammer-control,add,resultative,hammer,control,Tomas hammered the metal.,The metal became flat.,NA,NA,NA,1,
add-hammer-construction,add,resultative,hammer,construction,Tomas hammered the metal flat.,The metal became flat.,0,YES,1,1,
add-hammer-cue,add,resultative,hammer,cue,"Tomas hammered the metal flat, but the metal did not become flat.",The metal became flat.,2,NO,0,0,
add-kick-control,add,resultative,kick,control,Lena kicked the door.,The door became open.,NA,NA,NA,1,
add-kick-construction,add,resultative,kick,construction,Lena kicked the door open.,The door became open.,0,YES,1,1,
add-kick-cue,add,resultative,kick,cue,"Lena kicked the door open, but the door did not become open.",The door became open.,2,NO,0,0,
add-paint-control,add,resultative,paint,control,Omar painted the fence.,The fence became white.,NA,NA,NA,0,
add-paint-construction,add,resultative,paint,construction,Omar painted the fence white.,The fence became white.,0,YES,1,0,
add-paint-cue,add,resultative,paint,cue,"Omar painted the fence white, but the fence did not become white.",The fence became white.,2,NO,0,0,
add-push-control,add,resultative,push,control,Nina pushed the gate.,The gate became open.,NA,NA,NA,1,
add-push-construction,add,resultative,push,construction,Nina pushed the gate open.,The gate became open.,0,YES,1,1,
add-push-cue,add,resultative,push,cue,"Nina pushed the gate open, but the gate did not become open.",The gate became open.,2,NO,0,0,
add-scrub-control,add,resultative,scrub,control,Carlos scrubbed the pot.,The pot became clean.,NA,NA,NA,0,
add-scrub-construction,add,resultative,scrub,construction,Carlos scrubbed the pot clean.,The pot became clean.,0,YES,1,0,
add-scrub-cue,add,resultative,scrub,cue,"Carlos scrubbed the pot clean, but the pot did not become clean.",The pot became clean.,2,NO,0,0,
add-squeeze-control,add,resultative,squeeze,control,Aisha squeezed the sponge.,The sponge became dry.,NA,NA,NA,0,
add-squeeze-construction,add,resultative,squeeze,construction,Aisha squeezed the sponge dry.,The sponge became dry.,0,YES,1,0,
add-squeeze-cue,add,resultative,squeeze,cue,"Aisha squeezed the sponge dry, but the sponge did not become dry.",The sponge became dry.,2,NO,0,0,
add-wipe-control,add,resultative,wipe,control,Sam wiped the counter.,The counter became clean.,NA,NA,NA,0,
add-wipe-construction,add,resultative,wipe,construction,Sam wiped the counter clean.,The counter became clean.,0,YES,1,0,
add-wipe-cue,add,resultative,wipe,cue,"Sam wiped the counter clean, but the counter did not become clean.",The counter became clean.,2,NO,0,0,
can-gun-default,cancel,privative,gun,default,Sam bought a gun.,Sam bought a weapon.,0,YES,1,1,fake
can-gun-construction,cancel,privative,gun,construction,Sam bought a fake gun.,Sam bought a weapon.,2,NO,0,0,fake
can-gun-cue,cancel,privative,gun,cue,"Sam bought a fake gun, but it was a real weapon.",Sam bought a weapon.,0,YES,1,0,fake
can-diamond-default,cancel,privative,diamond,default,Priya bought a diamond.,Priya bought a gemstone.,0,YES,1,1,fake
can-diamond-construction,cancel,privative,diamond,construction,Priya bought a fake diamond.,Priya bought a gemstone.,2,NO,0,0,fake
can-diamond-cue,cancel,privative,diamond,cue,"Priya bought a fake diamond, but it was a real gemstone.",Priya bought a gemstone.,0,YES,1,0,fake
can-rose-default,cancel,privative,rose,default,Jordan bought a rose.,Jordan bought a flower.,0,YES,1,0,artificial
can-rose-construction,cancel,privative,rose,construction,Jordan bought an artificial rose.,Jordan bought a flower.,2,NO,0,0,artificial
can-rose-cue,cancel,privative,rose,cue,"Jordan bought an artificial rose, but it was a real flower.",Jordan bought a flower.,0,YES,1,0,artificial
can-tiger-default,cancel,privative,tiger,default,Lena saw a tiger.,Lena saw an animal.,0,YES,1,1,toy
can-tiger-construction,cancel,privative,tiger,construction,Lena saw a toy tiger.,Lena saw an animal.,2,NO,0,0,toy
can-tiger-cue,cancel,privative,tiger,cue,"Lena saw a toy tiger, but it was a real animal.",Lena saw an animal.,0,YES,1,0,toy
can-apple-default,cancel,privative,apple,default,Omar held an apple.,Omar held a fruit.,0,YES,1,1,plastic
can-apple-construction,cancel,privative,apple,construction,Omar held a plastic apple.,Omar held a fruit.,2,NO,0,0,plastic
can-apple-cue,cancel,privative,apple,cue,"Omar held a plastic apple, but it was a real fruit.",Omar held a fruit.,0,YES,1,0,plastic
can-pearl-default,cancel,privative,pearl,default,Nina wore a pearl.,Nina wore a jewel.,0,YES,1,0,imitation
can-pearl-construction,cancel,privative,pearl,construction,Nina wore an imitation pearl.,Nina wore a jewel.,2,NO,0,0,imitation
can-pearl-cue,cancel,privative,pearl,cue,"Nina wore an imitation pearl, but it was a real jewel.",Nina wore a jewel.,0,YES,1,0,imitation
can-sword-default,cancel,privative,sword,default,Carlos carried a sword.,Carlos carried a weapon.,0,YES,1,0,toy
can-sword-construction,cancel,privative,sword,construction,Carlos carried a toy sword.,Carlos carried a weapon.,2,NO,0,0,toy
can-sword-cue,cancel,privative,sword,cue,"Carlos carried a toy sword, but it was a real weapon.",Carlos carried a weapon.,0,YES,1,0,toy
can-violin-default,cancel,privative,violin,default,Maria played a violin.,Maria played a musical instrument.,0,YES,1,0,toy
can-violin-construction,cancel,privative,violin,construction,Maria played a toy violin.,Maria played a musical instrument.,2,NO,0,0,toy
can-violin-cue,cancel,privative,violin,cue,"Maria played a toy violin, but it was a real musical instrument.",Maria played a musical instrument.,0,YES,1,0,toy
