role,word,freqcount,lg10wf,pair,within_pair_lg10_gap,note
function-swap-out,the,1501908,6.1766,the->a,0.1591,determiner: definite -> indefinite
function-swap-in,a,1041179,6.0175,the->a,0.1591,determiner: definite -> indefinite
function-swap-out,will,108306,5.0347,will->would,0.0797,modal: future -> conditional/irrealis
function-swap-in,would,90162,4.955,will->would,0.0797,modal: future -> conditional/irrealis
function-swap-out,because,54622,4.7374,because->although,1.4062,subordinator: causal -> concessive
function-swap-in,although,2143,3.3312,because->although,1.4062,subordinator: causal -> concessive
function-swap-out,some,88089,4.9449,some->every,0.4976,quantifier: existential -> universal
function-swap-in,every,28007,4.4473,some->every,0.4976,quantifier: existential -> universal
content-candidate,Hey,88079,4.9449,~would,0.0101,open-class candidate within 0.10 Lg10WF of 'would' (NOT frozen)
content-candidate,tell,87949,4.9442,~would,0.0108,open-class candidate within 0.10 Lg10WF of 'would' (NOT frozen)
content-candidate,man,94133,4.9737,~would,0.0187,open-class candidate within 0.10 Lg10WF of 'would' (NOT frozen)
content-candidate,take,96443,4.9843,~would,0.0293,open-class candidate within 0.10 Lg10WF of 'would' (NOT frozen)
content-candidate,say,83629,4.9224,~would,0.0326,open-class candidate within 0.10 Lg10WF of 'would' (NOT frozen)
content-candidate,look,99311,4.997,~would,0.042,open-class candidate within 0.10 Lg10WF of 'would' (NOT frozen)
content-candidate,time,99890,4.9995,~would,0.0445,open-class candidate within 0.10 Lg10WF of 'would' (NOT frozen)
content-candidate,didn,80623,4.9065,~would,0.0485,open-class candidate within 0.10 Lg10WF of 'would' (NOT frozen)
content-candidate,gonna,101804,5.0078,~would,0.0528,open-class candidate within 0.10 Lg10WF of 'would' (NOT frozen)
content-candidate,Yes,101835,5.0079,~would,0.0529,open-class candidate within 0.10 Lg10WF of 'would' (NOT frozen)
content-candidate,Okay,102320,5.01,~would,0.055,open-class candidate within 0.10 Lg10WF of 'would' (NOT frozen)
content-candidate,back,102467,5.0106,~would,0.0556,open-class candidate within 0.10 Lg10WF of 'would' (NOT frozen)
content-candidate,Hey,88079,4.9449,~some,0.0,open-class candidate within 0.10 Lg10WF of 'some' (NOT frozen)
content-candidate,tell,87949,4.9442,~some,0.0007,open-class candidate within 0.10 Lg10WF of 'some' (NOT frozen)
content-candidate,say,83629,4.9224,~some,0.0225,open-class candidate within 0.10 Lg10WF of 'some' (NOT frozen)
content-candidate,man,94133,4.9737,~some,0.0288,open-class candidate within 0.10 Lg10WF of 'some' (NOT frozen)
content-candidate,didn,80623,4.9065,~some,0.0384,open-class candidate within 0.10 Lg10WF of 'some' (NOT frozen)
content-candidate,take,96443,4.9843,~some,0.0394,open-class candidate within 0.10 Lg10WF of 'some' (NOT frozen)
content-candidate,look,99311,4.997,~some,0.0521,open-class candidate within 0.10 Lg10WF of 'some' (NOT frozen)
content-candidate,time,99890,4.9995,~some,0.0546,open-class candidate within 0.10 Lg10WF of 'some' (NOT frozen)
content-candidate,really,76508,4.8837,~some,0.0612,open-class candidate within 0.10 Lg10WF of 'some' (NOT frozen)
content-candidate,something,76508,4.8837,~some,0.0612,open-class candidate within 0.10 Lg10WF of 'some' (NOT frozen)
content-candidate,gonna,101804,5.0078,~some,0.0629,open-class candidate within 0.10 Lg10WF of 'some' (NOT frozen)
content-candidate,Yes,101835,5.0079,~some,0.063,open-class candidate within 0.10 Lg10WF of 'some' (NOT frozen)
content-candidate,bad,27804,4.4441,~every,0.0032,open-class candidate within 0.10 Lg10WF of 'every' (NOT frozen)
content-candidate,Listen,27784,4.4438,~every,0.0035,open-class candidate within 0.10 Lg10WF of 'every' (NOT frozen)
content-candidate,father,28279,4.4515,~every,0.0042,open-class candidate within 0.10 Lg10WF of 'every' (NOT frozen)
content-candidate,hear,28323,4.4522,~every,0.0049,open-class candidate within 0.10 Lg10WF of 'every' (NOT frozen)
content-candidate,remember,27666,4.442,~every,0.0053,open-class candidate within 0.10 Lg10WF of 'every' (NOT frozen)
content-candidate,girl,28413,4.4535,~every,0.0062,open-class candidate within 0.10 Lg10WF of 'every' (NOT frozen)
content-candidate,Hi,28464,4.4543,~every,0.007,open-class candidate within 0.10 Lg10WF of 'every' (NOT frozen)
content-candidate,leave,28596,4.4563,~every,0.009,open-class candidate within 0.10 Lg10WF of 'every' (NOT frozen)
content-candidate,made,28626,4.4568,~every,0.0095,open-class candidate within 0.10 Lg10WF of 'every' (NOT frozen)
content-candidate,years,29003,4.4625,~every,0.0152,open-class candidate within 0.10 Lg10WF of 'every' (NOT frozen)
content-candidate,boy,27021,4.4317,~every,0.0156,open-class candidate within 0.10 Lg10WF of 'every' (NOT frozen)
content-candidate,lot,29066,4.4634,~every,0.0161,open-class candidate within 0.10 Lg10WF of 'every' (NOT frozen)
content-candidate,thing,55522,4.7445,~because,0.0071,open-class candidate within 0.10 Lg10WF of 'because' (NOT frozen)
content-candidate,sure,56091,4.7489,~because,0.0115,open-class candidate within 0.10 Lg10WF of 'because' (NOT frozen)
content-candidate,please,56149,4.7493,~because,0.0119,open-class candidate within 0.10 Lg10WF of 'because' (NOT frozen)
content-candidate,people,56252,4.7501,~because,0.0127,open-class candidate within 0.10 Lg10WF of 'because' (NOT frozen)
content-candidate,said,56531,4.7523,~because,0.0149,open-class candidate within 0.10 Lg10WF of 'because' (NOT frozen)
content-candidate,love,56864,4.7548,~because,0.0174,open-class candidate within 0.10 Lg10WF of 'because' (NOT frozen)
content-candidate,Thank,56877,4.7549,~because,0.0175,open-class candidate within 0.10 Lg10WF of 'because' (NOT frozen)
content-candidate,give,59559,4.775,~because,0.0376,open-class candidate within 0.10 Lg10WF of 'because' (NOT frozen)
content-candidate,sorry,59566,4.775,~because,0.0376,open-class candidate within 0.10 Lg10WF of 'because' (NOT frozen)
content-candidate,Mr,60098,4.7789,~because,0.0415,open-class candidate within 0.10 Lg10WF of 'because' (NOT frozen)
content-candidate,much,49636,4.6958,~because,0.0416,open-class candidate within 0.10 Lg10WF of 'because' (NOT frozen)
content-candidate,off,60155,4.7793,~because,0.0419,open-class candidate within 0.10 Lg10WF of 'because' (NOT frozen)
